MEET,NAME,FX,PH,SR,VT,PB,HB,AA,TEAM,ROUND,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
jpn_aj2,Tanabe Soichiro,NA,NA,14.2,NA,NA,NA,14.2,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Ebisu Yota,NA,NA,NA,NA,NA,13.966,13.966,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kobata Rensei,NA,NA,NA,NA,NA,12.466,12.466,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kabeya Hinata,NA,NA,NA,14.866,NA,NA,14.866,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Uchida Hayato,13.933,NA,NA,NA,NA,NA,13.933,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Nagasaki Shuto,NA,14.533,NA,NA,NA,NA,14.533,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Iwasawa Shoei,NA,NA,NA,14.966,NA,NA,14.966,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Nakayama Rei,NA,NA,NA,NA,14.7,NA,14.7,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Minami Kazuki,14.066,NA,NA,NA,NA,NA,14.066,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Hayasaka Akimune,NA,NA,NA,15.066,NA,NA,15.066,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Nizeki Aisho,NA,NA,NA,15.033,NA,NA,15.033,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Ono Ryoki,NA,NA,NA,14.966,NA,NA,14.966,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Banri Iwatsuki,NA,NA,NA,NA,14.666,NA,14.666,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Asayama Yudai,NA,14.7,NA,NA,NA,NA,14.7,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Ueda Yuta,NA,NA,14.666,NA,NA,NA,14.666,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Maeda Fusuke,NA,NA,NA,NA,NA,14.3,14.3,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Yamasaki Kyota,NA,NA,14.366,NA,NA,NA,14.366,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Fujino Yunoshin,14.066,NA,NA,NA,NA,NA,14.066,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Hiramatsu Koga,13.8,NA,NA,NA,NA,NA,13.8,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kasaoka Yoshiyuki,NA,NA,14,NA,NA,NA,14,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Sunaga Koki,NA,14.133,NA,NA,NA,NA,14.133,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kudo Yuya,NA,12.566,NA,NA,NA,NA,12.566,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Aoki Ryuto,NA,NA,NA,NA,NA,12.1,12.1,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Hashimoto Daiki,14.3,14.966,14.1,14.9,14.833,15.1,88.199,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Oka Shinnosuke,14.5,14.7,14.433,13.933,14,14.6,86.166,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Kaya Kazuma,13.566,14.533,14.233,14.533,14.933,14.066,85.864,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Doi Ryosuke,14.1,14.333,12.966,14.433,14.866,14.9,85.598,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Hasegawa Tsuyoshi,13.933,14.6,13.7,13.866,14.666,14.366,85.131,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Tsunogai Tomoharu,14.233,14.033,13,14.4,14.666,14.733,85.065,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Tanaka Yusuke,13.9,13.5,13.7,13.666,15.2,15,84.966,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Sugino Takaaki,14.3,13.7,12.9,14.733,14.166,14.566,84.365,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Miwa Teppei,14.366,12.4,14.2,15.033,14.866,13.333,84.198,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Kato Yuto,13.9,14.266,13.8,14.3,14.4,13.333,83.999,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Fujimaki Shunpei,13.9,14.266,14.133,14.033,13.333,14.166,83.831,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Kawakami Shohei,13.9,13.933,12.133,14.5,14.766,14.466,83.698,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Matsumi Kazuki,14.133,14.033,12.8,13.9,14.8,13.933,83.599,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Ueyama Rentaro,14.033,13.4,14.166,14.933,13.666,13.233,83.431,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Tanida Masaharu,14.2,13.866,13.8,14.566,14.666,12.266,83.364,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Yunoki Kentaro,13.833,12.533,14.233,14.333,14.633,13.533,83.098,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Tachibana Shiga,13.6,13.5,13.5,14.4,14.4,13.6,83,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Tanigawa Wataru,13.833,12.933,14.466,14.366,14.8,12.6,82.998,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Sasaki Fumiya,13.933,13.566,13.1,14.833,14.233,13.033,82.698,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Aoki Shota,14.533,12.633,13.466,14.266,14.033,13.766,82.697,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Haruki Minori,13.633,13.166,14.3,14.8,14.2,12.566,82.665,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Tanabe Yui,14.033,14.266,13.1,14.266,13.8,13.2,82.665,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Ishizawa Hiroto,13.533,14.633,12.866,13.433,14.3,13.733,82.498,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Kitazono Takeru,13.5,13.233,13.7,12.666,14.766,14.066,81.931,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Tsumura Ryota,13.833,15.1,13.4,14.133,13.5,11.933,81.899,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Fujio Takumi,13.6,14.066,12.833,14.333,13.366,13.7,81.898,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Hirano Shunsuke,13.333,13.766,14,14.166,13.733,12.9,81.898,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Kaneda Kiichi,14.033,12.2,14.9,14,14.066,12.666,81.865,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Kitamura Fumiya,13.5,13.4,13.8,13.333,14,13.766,81.799,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj1,Kondo Mamoru,13.5,14.1,13.033,13.866,13.5,13.766,81.765,JPN,NA,NA,NA,NA,NA,NA,NA
