team,names,total
V5179,NA,255.5375
V7181,NA,255.5375
V4581,NA,255.53333333333333
V1598,NA,255.525
V1623,NA,255.525
V2148,NA,255.525
V2162,NA,255.525
V3998,NA,255.525
V400,NA,255.525
V988,NA,255.525
V479,NA,255.525
V480,NA,255.525
V481,NA,255.525
V435,NA,255.52083333333337
V440,NA,255.52083333333337
V444,NA,255.52083333333337
V4495,NA,255.52083333333337
V838,NA,255.5125
V1345,NA,255.5125
V4015,NA,255.5125
V4056,NA,255.5125
V4116,NA,255.5125
V4193,NA,255.5125
V5686,NA,255.5125
V750,NA,255.5125
V860,NA,255.5125
V1554,NA,255.50833333333333
V6000,NA,255.50833333333333
V984,NA,255.50833333333333
V1689,NA,255.5
V2451,NA,255.5
V4136,NA,255.5
V4707,NA,255.5
V5970,NA,255.5
V2145,NA,255.49583333333337
V4334,NA,255.49583333333337
V4631,NA,255.49583333333337
V1096,NA,255.4875
V1223,NA,255.4875
V1712,NA,255.4875
V4615,NA,255.4875
V6028,NA,255.4875
V6962,NA,255.4875
V995,NA,255.4875
V4843,NA,255.4875
V1732,NA,255.48333333333335
V2994,NA,255.48333333333335
V4112,NA,255.48333333333335
V4223,NA,255.48333333333335
V4705,NA,255.48333333333335
V1735,NA,255.475
V1736,NA,255.475
V1737,NA,255.475
V1738,NA,255.475
V1534,NA,255.475
V2815,NA,255.475
V3888,NA,255.475
V581,NA,255.475
V586,NA,255.475
V590,NA,255.475
V745,NA,255.475
V947,NA,255.475
V2884,NA,255.47083333333333
V7142,NA,255.47083333333333
V3974,NA,255.4625
V4012,NA,255.4625
V5211,NA,255.4625
V659,NA,255.4625
V1935,NA,255.45833333333337
V2195,NA,255.45833333333337
V2654,NA,255.45833333333337
V4021,NA,255.45833333333337
V5685,NA,255.45833333333337
V1646,NA,255.45
V4569,NA,255.45
V4826,NA,255.45
V834,NA,255.45
V2602,NA,255.45
V2624,NA,255.45
V263,NA,255.45
V4249,NA,255.45
V881,NA,255.45
V4033,NA,255.44583333333333
V1074,NA,255.4375
V1145,NA,255.4375
V2726,NA,255.4375
V3877,NA,255.4375
V4212,NA,255.4375
V4664,NA,255.4375
V1271,NA,255.43333333333337
V1330,NA,255.43333333333337
V1616,NA,255.425
V368,NA,255.425
V369,NA,255.425
V370,NA,255.425
V3933,NA,255.425
V4097,NA,255.425
V4809,NA,255.425
V5056,NA,255.425
V652,NA,255.425
V1525,NA,255.425
V4362,NA,255.425
V2261,NA,255.42083333333335
V3902,NA,255.4125
V1084,NA,255.4125
V1110,NA,255.4125
V1532,NA,255.4125
V2102,NA,255.4125
V264,NA,255.4125
V265,NA,255.4125
V266,NA,255.4125
V2682,NA,255.4125
V3920,NA,255.4125
V4217,NA,255.4125
V4865,NA,255.4125
V559,NA,255.4125
V1596,NA,255.40833333333333
V2157,NA,255.40833333333333
V2966,NA,255.40833333333333
V4135,NA,255.40833333333333
V1693,NA,255.4
V4188,NA,255.4
V5322,NA,255.4
V675,NA,255.4
V558,NA,255.39583333333337
V5647,NA,255.39583333333337
V1733,NA,255.3875
V2222,NA,255.3875
V192,NA,255.3875
V195,NA,255.3875
V196,NA,255.3875
V197,NA,255.3875
V2084,NA,255.3875
V2179,NA,255.3875
V2896,NA,255.3875
V3909,NA,255.3875
V3911,NA,255.3875
V3912,NA,255.3875
V3913,NA,255.3875
V3914,NA,255.3875
V4045,NA,255.3875
V4233,NA,255.3875
V4765,NA,255.3875
V506,NA,255.3875
V5129,NA,255.3875
V5178,NA,255.3875
V2117,NA,255.38333333333333
V2532,NA,255.38333333333333
V323,NA,255.38333333333333
V4895,NA,255.38333333333333
V702,NA,255.38333333333333
V994,NA,255.38333333333333
V1005,NA,255.375
V1597,NA,255.375
V1671,NA,255.375
V388,NA,255.375
V391,NA,255.375
V392,NA,255.375
